state_abbrev,year,earthquake_count,max_magnitude,log_seismic_energy
IN,2010,1,3.8,13.124737025326382
OR,2010,5,3.6,13.502835599429803
CA,2010,130,6.5,22.568631788626433
OK,2010,41,4.4,16.103193333451838
WY,2010,107,4.8,17.35024592898627
MT,2010,27,3.87,15.027184849084371
TX,2010,9,3.9,14.204187828559443
NM,2010,5,4.1,14.747233530805111
NV,2010,48,4.3,16.408536829774878
AR,2010,13,4.1,15.084558292396329
CO,2010,11,5.0,17.795198789161113
NY,2010,1,3.68,12.710272733274294
WA,2010,7,4.2,15.363826682605849
NE,2010,2,3.3,11.804059968630575
AZ,2010,5,3.6,13.335765434948197
ID,2010,4,3.4,12.643479300785275
VA,2010,3,3.4,12.216936801273592
NH,2010,1,3.15,10.879733400710355
UT,2010,16,4.89,17.03947951644624
MN,2010,2,3.1,11.400179056525303
LA,2010,1,3.0,10.361664540749818
MD,2010,1,3.6,12.43396348323163
PA,2010,1,3.05,10.534353407344389
MO,2010,2,3.7,12.89792586039917
AL,2010,2,3.2,11.458675288044788
OH,2010,1,3.0,10.361664540749818
TN,2010,1,3.3,11.397807430442121
ME,2010,1,3.0,10.361664540749818
IL,2010,1,3.8,13.124737025326382
MT,2011,14,3.8,14.226935703307568
WY,2011,105,4.0,16.005759775050763
OK,2011,62,5.7,19.791713360635868
CA,2011,107,4.73,17.889625549281405
UT,2011,19,4.56,15.997736915581736
TX,2011,21,4.8,16.949955357728584
CO,2011,57,5.6,20.3979269634573
AZ,2011,7,3.8,14.039741078241189
NV,2011,92,4.8,17.893327831237162
VA,2011,8,5.8,20.0485709888238
ID,2011,6,4.4,15.381421971820107
WA,2011,16,4.6,16.367028986230128
SD,2011,3,4.0,13.979541852743669
NM,2011,3,3.5,12.624850115963437
AR,2011,37,4.7,16.71168271760372
MO,2011,2,3.9,13.773787561345898
AL,2011,2,3.5,12.252248526893364
OH,2011,2,3.1,11.242325142717824
NY,2011,1,3.19,11.017886075739666
MN,2011,1,3.3,11.397807430442121
KY,2011,1,3.1,10.70704306938311
